1/1/2016 21:11,1/1/2016 21:17,Almire,9298608912,21,318886,Fort Pierce,Fort Pierce,5.1,49.98,Bike,Johanna,9181026109,3,141,YES,YES,Gpay,0%,49.98,Cancelled
1/2/2016 20:25,1/2/2016 20:38,Frazier,8621617385,27,318886,Fort Pierce,Fort Pierce,4.8,47.04,Bike,Charlot,9855403124,4,65,YES,YES,Phonpe,0%,47.04,Arrived
1/5/2016 17:31,1/5/2016 17:45,Editha,9954004976,20,318886,Fort Pierce,Fort Pierce,4.7,46.06,Bike,Cissy,9328907059,5,100,YES,YES,Paytm,0%,46.06,Assigned
1/6/2016 14:42,1/6/2016 15:49,Deeyn,9885727873,34,318886,Fort Pierce,West Palm Beach,63.7,624.26,Bike,Luelle,9774674359,2,80,NO,YES,Uber wallet,10%,561.834,Assigned
1/6/2016 17:15,1/6/2016 17:19,Correy,9661756645,28,475241,West Palm Beach,West Palm Beach,4.3,42.14,Bike,Myrle,9425892986,3,90,NO,NO,cash,0%,42.14,Assigned
1/6/2016 17:30,1/6/2016 17:35,Bryan,8721880095,50,475241,West Palm Beach,Palm Beach,7.1,69.58,Bike,Duncan,9611855033,4,228,YES,YES,Uber wallet,10%,62.622,Arrived
1/7/2016 13:27,1/7/2016 13:33,Crissy,8579258893,68,265814,Cary,Cary,0.8,7.84,Bike,Carine,9700998304,5,7,YES,YES,Uber wallet,10%,7.056,Assigned
1/10/2016 8:05,1/10/2016 8:25,Kendre,8900099665,31,265814,Cary,Morrisville,8.3,81.34,Bike,Collette,9212537431,5,74,YES,YES,Uber wallet,10%,73.206,Assigned
1/10/2016 12:17,1/10/2016 12:44,Aymer,9918333307,47,386077,Jamaica,New York,16.5,161.7,Bike,Killie,9426616674,5,249,NO,YES,Uber wallet,10%,145.53,Arrived
1/10/2016 15:08,1/10/2016 15:51,Gabbey,9050095157,59,125733,New York,Queens,10.8,105.84,Bike,Ellette,8949025277,4,22,NO,NO,cash,0%,105.84,Assigned
1/10/2016 18:18,1/10/2016 18:53,Cammi,7884885405,19,646882,Elmhurst,New York,7.5,73.5,Bike,Amara,9247349792,4,263,YES,YES,Gpay,0%,73.5,Assigned
